Post_Date,Neighborhood,Price,Title,Url,Bedroom,sqft
2022-08-18 15:24:00,"Seattle, Wa",1495.0,We are a new building located in Queen Anne! Natural Light in Unit!,https://seattle.craigslist.org/see/apa/d/seattle-we-are-new-building-located-in/7523117934.html,,320.0
2022-08-18 15:23:00,"14700 Ne 35Th St, Bellevue, Wa",2750.0,"2BR Town Home, Modern kitchen, Tons of storage, Large 2-story plan",https://seattle.craigslist.org/see/apa/d/bellevue-2br-town-home-modern-kitchen/7523122318.html,2.0,1057.0
2022-08-18 15:23:00,"2619 5Th Avenue, Seattle, Wa",1499.0,"Walk-In Closets, Cable Ready, Old World Charm Crown Molding",https://seattle.craigslist.org/see/apa/d/seattle-walk-in-closets-cable-ready-old/7522251125.html,,359.0
2022-08-18 15:23:00,Seattle,1848.0,"Heated Indoor Pool, Sauna, & Spa, Separate Dining Room, Double Sinks",https://seattle.craigslist.org/see/apa/d/seattle-heated-indoor-pool-sauna-spa/7523121994.html,1.0,700.0
2022-08-18 15:22:00,Seattle,2804.0,"Call for Details, Catering Kitchen, Ceramic Tile",https://seattle.craigslist.org/see/apa/d/call-for-details-catering-kitchen/7523121893.html,1.0,701.0
2022-08-18 15:22:00,"3490 Sw Graham St, Seattle-Tacoma, Wa",2105.0,Move into this spacious 1 bedroom! $500 Move In Special,https://seattle.craigslist.org/see/apa/d/seattle-move-into-this-spacious-bedroom/7523121698.html,1.0,749.0
2022-08-18 15:22:00,"1100 University St Seattle, Wa",3272.0,***98 Walking Score! Spacious Floor Plan! Washer/dryer in HOME!,https://seattle.craigslist.org/see/apa/d/seattle-98-walking-score-spacious-floor/7523121661.html,2.0,1134.0
2022-08-18 15:22:00,"255 Lenora St, Seattle, Wa",5951.0,Hospitality& Service You Can't Find Anywhere Else! Only At The Modern.,https://seattle.craigslist.org/see/apa/d/seattle-hospitality-service-you-cant/7523121566.html,2.0,1178.0
2022-08-18 15:21:00,"Seattle, Green Lake, Roosevelt",2392.0,Private Patio with a View of MT. Rainer + $1000 off September Rent,https://seattle.craigslist.org/see/apa/d/seattle-private-patio-with-view-of-mt/7523121285.html,1.0,650.0
2022-08-18 15:20:00,"8026 15Th Avenue Northwest, Seattle-Tacoma, Wa",1745.0,"Bicycle Storage, Harwood/Vinyl Floors, Secured Garage Parking",https://seattle.craigslist.org/see/apa/d/seattle-bicycle-storage-harwood-vinyl/7523116688.html,1.0,558.0
